Country Code,IMF Country Code,Country,Indicator Type,Series Name,2016,2017,2018,2019,2020,2021,2022,Note
DJI,611,Djibouti,Inflation,Headline Consumer Price Inflation,2.7,0.57,0.15,3.32,2.88,1.18,6.59,Annual average inflation
DMA,321,Dominica,Inflation,Headline Consumer Price Inflation,0.03,0.3,0.99,1.61,-0.3,1.57,5.28,Annual average inflation
DNK,128,Denmark,Inflation,Headline Consumer Price Inflation,0.25,1.06,0.81,0.73,0.42,1.85,7.7,Annual average inflation
DOM,243,Dominican Republic,Inflation,Headline Consumer Price Inflation,1.63,3.28,3.56,1.81,3.78,8.24,8.81,Annual average inflation
DZA,612,Algeria,Inflation,Headline Consumer Price Inflation,5.8,5.59,3.51,1.95,2.42,7.23,9.96,Annual average inflation
ECU,248,Ecuador,Inflation,Headline Consumer Price Inflation,1.73,0.42,-0.22,0.27,-0.34,0.13,3.47,Annual average inflation
EGY,469,"Egypt, Arab Rep.",Inflation,Headline Consumer Price Inflation,13.81,23.54,14.4,13.88,5.7,5.21,13.89,Annual average inflation
ERI,643,Eritrea,Inflation,Headline Consumer Price Inflation,9,-13.31,-14.4,-16.36,4.91,6.64,7.35,Annual average inflation
ESP,184,Spain,Inflation,Headline Consumer Price Inflation,-0.2,1.96,1.68,0.7,-0.32,3.09,8.4,Annual average inflation
EST,939,Estonia,Inflation,Headline Consumer Price Inflation,0.15,3.65,3.44,2.27,-0.44,4.65,19.4,Annual average inflation
ETH,644,Ethiopia,Inflation,Headline Consumer Price Inflation,7.28,10.69,13.84,15.81,20.35,26.84,33.89,Annual average inflation
FIN,172,Finland,Inflation,Headline Consumer Price Inflation,0.36,0.84,1.08,1.14,0.29,2.19,7.1,Annual average inflation
FJI,819,Fiji,Inflation,Headline Consumer Price Inflation,3.87,3.35,4.08,1.77,-2.6,0.16,4.52,Annual average inflation
FRA,132,France,Inflation,Headline Consumer Price Inflation,0.18,1.16,1.85,1.3,0.48,1.64,5.2,Annual average inflation
FSM,868,"Micronesia, Fed. Sts.",Inflation,Headline Consumer Price Inflation,-1.04,0.1,1.5,1.86,0.48,2.09,5.79,Annual average inflation
GAB,646,Gabon,Inflation,Headline Consumer Price Inflation,2.09,2.65,4.78,2.02,1.37,1.08,4.23,Annual average inflation
GBR,112,United Kingdom,Inflation,Headline Consumer Price Inflation,1,2.68,2.32,1.79,0.99,2.5,7.9,Annual average inflation
GEO,915,Georgia,Inflation,Headline Consumer Price Inflation,2.12,6.04,2.62,4.85,5.2,9.57,11.9,Annual average inflation
GHA,652,Ghana,Inflation,Headline Consumer Price Inflation,17.44,12.37,9.84,7.18,9.95,9.97,31.92,Annual average inflation
GIN,656,Guinea,Inflation,Headline Consumer Price Inflation,8.17,8.91,9.83,9.47,10.6,12.6,12.72,Annual average inflation
GMB,648,"Gambia, The",Inflation,Headline Consumer Price Inflation,7.22,8.05,6.52,7.12,5.93,7.37,11.31,Annual average inflation
GNB,654,Guinea-Bissau,Inflation,Headline Consumer Price Inflation,1.5,1.06,1.44,0.25,1.46,3.27,5.52,Annual average inflation
GNQ,642,Equatorial Guinea,Inflation,Headline Consumer Price Inflation,1.4,0.75,1.08,1.21,4.77,-0.09,5.14,Annual average inflation
GRC,174,Greece,Inflation,Headline Consumer Price Inflation,-0.83,1.14,0.63,0.52,-1.25,1.22,9.6,Annual average inflation
GRD,328,Grenada,Inflation,Headline Consumer Price Inflation,1.72,0.91,0.81,0.6,-0.74,1.22,1.22,Annual average inflation
GTM,258,Guatemala,Inflation,Headline Consumer Price Inflation,4.45,4.43,3.75,3.7,3.21,4.26,6.89,Annual average inflation
GUY,336,Guyana,Inflation,Headline Consumer Price Inflation,0.83,1.94,1.27,2.09,0.72,3.32,7.59,Annual average inflation
HKG,532,"Hong Kong SAR, China",Inflation,Headline Consumer Price Inflation,2.42,1.48,2.41,2.87,0.33,1.57,1.88,Annual average inflation
HND,268,Honduras,Inflation,Headline Consumer Price Inflation,2.72,3.93,4.34,4.36,3.47,4.48,9.09,Annual average inflation
HRV,960,Croatia,Inflation,Headline Consumer Price Inflation,-1.12,1.13,1.5,0.77,0.28,2.55,10.78,Annual average inflation
HTI,263,Haiti,Inflation,Headline Consumer Price Inflation,13.38,14.74,12.89,17.31,22.8,15.94,26.82,Annual average inflation
HUN,944,Hungary,Inflation,Headline Consumer Price Inflation,0.39,2.41,2.85,3.37,3.33,5.11,14.6,Annual average inflation
